#            configname    selected           comp(a)    formation_energy        clex()
    SCEL1_1_1_1_0_0_0/0           1        0.00000000         -0.00000000    0.02983163
    SCEL1_1_1_1_0_0_0/1           1        1.00000000         -0.00000000    0.04234423
    SCEL2_1_1_2_0_0_0/0           1        0.50000000         -0.27793807    -0.27230650
    SCEL2_1_2_1_1_0_0/0           1        0.50000000         -0.31489806    -0.30595814
    SCEL2_2_1_1_0_1_1/0           1        0.50000000         -0.44575015    -0.41351737
    SCEL3_1_1_3_0_0_0/0           1        0.33333333         -0.22717535    -0.24502483
    SCEL3_1_1_3_0_0_0/1           1        0.66666667         -0.18983046    -0.20587829
    SCEL3_1_3_1_1_0_0/0           1        0.33333333         -0.24595592    -0.26166590
    SCEL3_1_3_1_1_0_0/1           1        0.66666667         -0.22707334    -0.23343651
    SCEL3_3_1_1_0_1_1/0           1        0.33333333         -0.23660307    -0.26808934
    SCEL3_3_1_1_0_1_1/1           1        0.66666667         -0.26528124    -0.28824298
    SCEL4_1_1_4_0_0_0/0           1        0.25000000         -0.18112713    -0.18601733
    SCEL4_1_1_4_0_0_0/1           1        0.50000000         -0.21259283    -0.22143731
    SCEL4_1_1_4_0_0_0/2           1        0.75000000         -0.14527030    -0.15352927
    SCEL4_1_2_2_0_0_0/0           1        0.25000000         -0.22383110    -0.22433097
    SCEL4_1_2_2_0_0_0/1           1        0.75000000         -0.16907248    -0.18291063
    SCEL4_1_4_1_1_0_0/0           1        0.25000000         -0.21157581    -0.21861094
    SCEL4_1_4_1_1_0_0/1           1        0.50000000         -0.25573729    -0.25888046
    SCEL4_1_4_1_1_0_0/2           1        0.75000000         -0.17367692    -0.17520463
    SCEL4_1_4_1_2_0_0/0           1        0.25000000         -0.21460144    -0.22077144
    SCEL4_1_4_1_2_0_0/1           1        0.50000000         -0.30346717    -0.29163005
    SCEL4_1_4_1_2_0_0/2           1        0.75000000         -0.17180525    -0.18896790
    SCEL4_2_1_2_0_0_1/0           1        0.25000000         -0.24288670    -0.25032929
    SCEL4_2_1_2_0_0_1/1           1        0.75000000         -0.21415420    -0.22751776
    SCEL4_2_1_2_0_1_1/0           1        0.25000000         -0.24698359    -0.26127024
    SCEL4_2_1_2_0_1_1/1           1        0.50000000         -0.38608833    -0.35538789
    SCEL4_2_1_2_0_1_1/2           1        0.75000000         -0.20437203    -0.21222694
    SCEL4_2_2_1_1_0_1/0           1        0.25000000         -0.21864866    -0.24604893
    SCEL4_2_2_1_1_0_1/1           1        0.50000000         -0.34751141    -0.33031168
    SCEL4_2_2_1_1_0_1/2           1        0.75000000         -0.19825662    -0.21919786
    SCEL4_2_2_1_1_1_0/0           1        0.25000000         -0.23648967    -0.24943441
    SCEL4_2_2_1_1_1_0/1           1        0.75000000         -0.19851381    -0.19145883
    SCEL4_4_1_1_0_3_3/0           1        0.25000000         -0.23436417    -0.23462772
    SCEL4_4_1_1_0_3_3/1           1        0.50000000         -0.29136835    -0.27775216
    SCEL4_4_1_1_0_3_3/2           1        0.75000000         -0.21930827    -0.23183916
    SCEL5_1_1_5_0_0_0/0           1        0.20000000         -0.15086913    -0.14284754
    SCEL5_1_1_5_0_0_0/1           1        0.40000000         -0.18594287    -0.17894881
    SCEL5_1_1_5_0_0_0/2           1        0.40000000         -0.25911951    -0.25593750
    SCEL5_1_1_5_0_0_0/3           1        0.60000000         -0.18968055    -0.17644629
    SCEL5_1_1_5_0_0_0/4           1        0.60000000         -0.22532532    -0.23244957
    SCEL5_1_1_5_0_0_0/5           1        0.80000000         -0.11126028    -0.11435457
    SCEL5_1_5_1_2_0_0/0           1        0.20000000         -0.17944698    -0.17762838
    SCEL5_1_5_1_2_0_0/1           1        0.40000000         -0.27854054    -0.26915362
    SCEL5_1_5_1_2_0_0/2           1        0.60000000         -0.26200812    -0.25569761
    SCEL5_1_5_1_2_0_0/3           1        0.80000000         -0.14417230    -0.14821383
    SCEL5_1_5_1_4_0_0/0           1        0.20000000         -0.17517913    -0.17878802
    SCEL5_1_5_1_4_0_0/1           1        0.40000000         -0.22866903    -0.24472476
    SCEL5_1_5_1_4_0_0/2           1        0.40000000         -0.30178427    -0.28924838
    SCEL5_1_5_1_4_0_0/3           1        0.60000000         -0.22775629    -0.22693734
    SCEL5_1_5_1_4_0_0/4           1        0.60000000         -0.26591433    -0.27231075
    SCEL5_1_5_1_4_0_0/5           1        0.80000000         -0.13741166    -0.14156045
    SCEL5_5_1_1_0_1_1/0           1        0.20000000         -0.17652589    -0.18766329
    SCEL5_5_1_1_0_1_1/1           1        0.40000000         -0.31636413    -0.32334517
    SCEL5_5_1_1_0_1_1/2           1        0.40000000         -0.25310689    -0.26888402
    SCEL5_5_1_1_0_1_1/3           1        0.60000000         -0.34071862    -0.33630132
    SCEL5_5_1_1_0_1_1/4           1        0.60000000         -0.25901919    -0.25283305
    SCEL5_5_1_1_0_1_1/5           1        0.80000000         -0.17879946    -0.18206595
    SCEL5_5_1_1_0_3_1/0           1        0.20000000         -0.18699769    -0.19739640
    SCEL5_5_1_1_0_3_1/1           1        0.40000000         -0.31487488    -0.31872749
    SCEL5_5_1_1_0_3_1/2           1        0.40000000         -0.29790289    -0.29321889
    SCEL5_5_1_1_0_3_1/3           1        0.60000000         -0.29972110    -0.31187497
    SCEL5_5_1_1_0_3_1/4           1        0.60000000         -0.30450751    -0.28749444
    SCEL5_5_1_1_0_3_1/5           1        0.80000000         -0.16700872    -0.18231692
    SCEL6_1_1_6_0_0_0/0           1        0.16666667         -0.13500666    -0.11406768
    SCEL6_1_1_6_0_0_0/1           1        0.33333333         -0.17938104    -0.14415207
    SCEL6_1_1_6_0_0_0/2           1        0.33333333         -0.22853946    -0.21478039
    SCEL6_1_1_6_0_0_0/4           1        0.50000000         -0.23396028    -0.23192264
    SCEL6_1_1_6_0_0_0/5           1        0.66666667         -0.16088848    -0.13998121
    SCEL6_1_1_6_0_0_0/6           1        0.66666667         -0.19518331    -0.19312168
    SCEL6_1_1_6_0_0_0/7           1        0.83333333         -0.09733629    -0.08823811
    SCEL6_1_2_3_0_0_0/0           1        0.16666667         -0.14521059    -0.15816547
    SCEL6_1_2_3_0_0_0/1           1        0.33333333         -0.26519725    -0.26902627
    SCEL6_1_2_3_0_0_0/2           1        0.33333333         -0.25566685    -0.25357985
    SCEL6_1_2_3_0_0_0/3           1        0.50000000         -0.31023150    -0.29949386
    SCEL6_1_2_3_0_0_0/4           1        0.50000000         -0.26877876    -0.26966167
    SCEL6_1_2_3_0_0_0/5           1        0.66666667         -0.22780846    -0.24154124
    SCEL6_1_2_3_0_0_0/6           1        0.66666667         -0.22689801    -0.22980029
    SCEL6_1_2_3_0_0_0/7           1        0.83333333         -0.11710623    -0.11961839
    SCEL6_1_2_3_1_0_0/0           1        0.16666667         -0.15315115    -0.15662158
    SCEL6_1_2_3_1_0_0/1           1        0.33333333         -0.25664693    -0.24811905
    SCEL6_1_2_3_1_0_0/2           1        0.33333333         -0.26997723    -0.26831151
    SCEL6_1_2_3_1_0_0/3           1        0.50000000         -0.29159387    -0.28210109
    SCEL6_1_2_3_1_0_0/4           1        0.50000000         -0.26790747    -0.26811778
    SCEL6_1_2_3_1_0_0/5           1        0.66666667         -0.22067955    -0.23075069
    SCEL6_1_2_3_1_0_0/6           1        0.66666667         -0.23227193    -0.23441528
    SCEL6_1_2_3_1_0_0/7           1        0.83333333         -0.11947658    -0.11807450
    SCEL6_1_3_2_1_0_0/0           1        0.16666667         -0.14564737    -0.15346233
    SCEL6_1_3_2_1_0_0/1           1        0.33333333         -0.24820136    -0.24703276
    SCEL6_1_3_2_1_0_0/2           1        0.33333333         -0.24886180    -0.25103370
    SCEL6_1_3_2_1_0_0/3           1        0.50000000         -0.26561163    -0.26376853
    SCEL6_1_3_2_1_0_0/4           1        0.50000000         -0.29080710    -0.27730507
    SCEL6_1_3_2_1_0_0/5           1        0.66666667         -0.21845321    -0.22099656
    SCEL6_1_3_2_1_0_0/6           1        0.66666667         -0.22703972    -0.22553359
    SCEL6_1_3_2_1_0_0/7           1        0.83333333         -0.12035033    -0.11750868
    SCEL6_1_6_1_1_0_0/0           1        0.16666667         -0.15338298    -0.14401807
