#            configname    selected           comp(a)    formation_energy        clex()
    SCEL1_1_1_1_0_0_0/0           1        0.00000000         -0.00000000    0.01499382
    SCEL1_1_1_1_0_0_0/1           1        1.00000000         -0.00000000    0.04535255
    SCEL2_1_1_2_0_0_0/0           1        0.50000000         -0.27793807    -0.27910391
    SCEL2_1_2_1_1_0_0/0           1        0.50000000         -0.31489806    -0.31690596
    SCEL2_2_1_1_0_1_1/0           1        0.50000000         -0.44575015    -0.40161964
    SCEL3_1_1_3_0_0_0/0           1        0.33333333         -0.22717535    -0.23392192
    SCEL3_1_1_3_0_0_0/1           1        0.66666667         -0.18983046    -0.22380234
    SCEL3_1_3_1_1_0_0/0           1        0.33333333         -0.24595592    -0.26625109
    SCEL3_1_3_1_1_0_0/1           1        0.66666667         -0.22707334    -0.24042068
    SCEL3_3_1_1_0_1_1/0           1        0.33333333         -0.23660307    -0.29257086
    SCEL3_3_1_1_0_1_1/1           1        0.66666667         -0.26528124    -0.28245128
    SCEL4_1_1_4_0_0_0/0           1        0.25000000         -0.18112713    -0.17169298
    SCEL4_1_1_4_0_0_0/1           1        0.50000000         -0.21259283    -0.20374124
    SCEL4_1_1_4_0_0_0/2           1        0.75000000         -0.14527030    -0.15651362
    SCEL4_1_2_2_0_0_0/0           1        0.25000000         -0.22383110    -0.23060795
    SCEL4_1_2_2_0_0_0/1           1        0.75000000         -0.16907248    -0.19186234
    SCEL4_1_4_1_1_0_0/0           1        0.25000000         -0.21157581    -0.22064587
    SCEL4_1_4_1_1_0_0/1           1        0.50000000         -0.25573729    -0.27096287
    SCEL4_1_4_1_1_0_0/2           1        0.75000000         -0.17367692    -0.19368338
    SCEL4_1_4_1_2_0_0/0           1        0.25000000         -0.21460144    -0.22083387
    SCEL4_1_4_1_2_0_0/1           1        0.50000000         -0.30346717    -0.27845677
    SCEL4_1_4_1_2_0_0/2           1        0.75000000         -0.17180525    -0.18208826
    SCEL4_2_1_2_0_0_1/0           1        0.25000000         -0.24288670    -0.24945376
    SCEL4_2_1_2_0_0_1/1           1        0.75000000         -0.21415420    -0.23427440
    SCEL4_2_1_2_0_1_1/0           1        0.25000000         -0.24698359    -0.24576455
    SCEL4_2_1_2_0_1_1/1           1        0.50000000         -0.38608833    -0.35188437
    SCEL4_2_1_2_0_1_1/2           1        0.75000000         -0.20437203    -0.23058518
    SCEL4_2_2_1_1_0_1/0           1        0.25000000         -0.21864866    -0.23601808
    SCEL4_2_2_1_1_0_1/1           1        0.50000000         -0.34751141    -0.30170728
    SCEL4_2_2_1_1_0_1/2           1        0.75000000         -0.19825662    -0.20905559
    SCEL4_2_2_1_1_1_0/0           1        0.25000000         -0.23648967    -0.24950898
    SCEL4_2_2_1_1_1_0/1           1        0.75000000         -0.19851381    -0.21076337
    SCEL4_4_1_1_0_3_3/0           1        0.25000000         -0.23436417    -0.24771897
    SCEL4_4_1_1_0_3_3/1           1        0.50000000         -0.29136835    -0.29453535
    SCEL4_4_1_1_0_3_3/2           1        0.75000000         -0.21930827    -0.23253961
    SCEL5_1_1_5_0_0_0/0           1        0.20000000         -0.15086913    -0.13435562
    SCEL5_1_1_5_0_0_0/1           1        0.40000000         -0.18594287    -0.15999423
    SCEL5_1_1_5_0_0_0/2           1        0.40000000         -0.25911951    -0.25199472
    SCEL5_1_1_5_0_0_0/3           1        0.60000000         -0.18968055    -0.15392248
    SCEL5_1_1_5_0_0_0/4           1        0.60000000         -0.22532532    -0.24592297
    SCEL5_1_1_5_0_0_0/5           1        0.80000000         -0.11126028    -0.11614038
    SCEL5_1_5_1_2_0_0/0           1        0.20000000         -0.17944698    -0.18561388
    SCEL5_1_5_1_2_0_0/1           1        0.40000000         -0.27854054    -0.27345536
    SCEL5_1_5_1_2_0_0/2           1        0.60000000         -0.26200812    -0.25795711
    SCEL5_1_5_1_2_0_0/3           1        0.80000000         -0.14417230    -0.14854564
    SCEL5_1_5_1_4_0_0/0           1        0.20000000         -0.17517913    -0.17351793
    SCEL5_1_5_1_4_0_0/1           1        0.40000000         -0.22866903    -0.23353634
    SCEL5_1_5_1_4_0_0/2           1        0.40000000         -0.30178427    -0.28651304
