#            configname    selected           comp(a)    formation_energy         clex()
    SCEL1_1_1_1_0_0_0/0           1        0.00000000         -0.00000000    -0.01477457
    SCEL2_1_1_2_0_0_0/0           1        0.50000000         -0.27793807    -0.29111830
    SCEL2_1_2_1_1_0_0/0           1        0.50000000         -0.31489806    -0.34271859
    SCEL2_2_1_1_0_1_1/0           1        0.50000000         -0.44575015    -0.42804934
    SCEL3_1_1_3_0_0_0/0           1        0.33333333         -0.22717535    -0.22865967
    SCEL3_1_3_1_1_0_0/0           1        0.33333333         -0.24595592    -0.26243573
    SCEL3_3_1_1_0_1_1/0           1        0.33333333         -0.23660307    -0.27741503
    SCEL4_1_1_4_0_0_0/0           1        0.25000000         -0.18112713    -0.17518840
    SCEL4_1_1_4_0_0_0/1           1        0.50000000         -0.21259283    -0.21196737
    SCEL4_1_2_2_0_0_0/0           1        0.25000000         -0.22383110    -0.22901247
    SCEL4_1_4_1_1_0_0/0           1        0.25000000         -0.21157581    -0.21646811
    SCEL4_1_4_1_1_0_0/1           1        0.50000000         -0.25573729    -0.26737811
    SCEL4_1_4_1_2_0_0/0           1        0.25000000         -0.21460144    -0.21935909
    SCEL4_1_4_1_2_0_0/1           1        0.50000000         -0.30346717    -0.29761169
    SCEL4_2_1_2_0_0_1/0           1        0.25000000         -0.24288670    -0.23361801
    SCEL4_2_1_2_0_1_1/0           1        0.25000000         -0.24698359    -0.23068281
    SCEL4_2_1_2_0_1_1/1           1        0.50000000         -0.38608833    -0.37951356
    SCEL4_2_2_1_1_0_1/0           1        0.25000000         -0.21864866    -0.21748739
    SCEL4_2_2_1_1_0_1/1           1        0.50000000         -0.34751141    -0.32597405
    SCEL4_2_2_1_1_1_0/0           1        0.25000000         -0.23648967    -0.22653393
    SCEL4_4_1_1_0_3_3/0           1        0.25000000         -0.23436417    -0.23056650
    SCEL4_4_1_1_0_3_3/1           1        0.50000000         -0.29136835    -0.29667608
    SCEL5_1_1_5_0_0_0/0           1        0.20000000         -0.15086913    -0.14310563
    SCEL5_1_1_5_0_0_0/1           1        0.40000000         -0.18594287    -0.17252881
    SCEL5_1_1_5_0_0_0/2           1        0.40000000         -0.25911951    -0.25364312
    SCEL5_1_5_1_2_0_0/0           1        0.20000000         -0.17944698    -0.18347762
    SCEL5_1_5_1_2_0_0/1           1        0.40000000         -0.27854054    -0.27256512
    SCEL5_1_5_1_4_0_0/0           1        0.20000000         -0.17517913    -0.17612940
    SCEL5_1_5_1_4_0_0/1           1        0.40000000         -0.22866903    -0.22961554
    SCEL5_1_5_1_4_0_0/2           1        0.40000000         -0.30178427    -0.29454887
    SCEL5_5_1_1_0_1_1/0           1        0.20000000         -0.17652589    -0.19320014
    SCEL5_5_1_1_0_1_1/1           1        0.40000000         -0.31636413    -0.34346078
    SCEL5_5_1_1_0_1_1/2           1        0.40000000         -0.25310689    -0.26692910
    SCEL5_5_1_1_0_3_1/0           1        0.20000000         -0.18699769    -0.18267982
    SCEL5_5_1_1_0_3_1/1           1        0.40000000         -0.31487488    -0.30423602
    SCEL5_5_1_1_0_3_1/2           1        0.40000000         -0.29790289    -0.28482556
    SCEL6_1_1_6_0_0_0/0           1        0.16666667         -0.13500666    -0.12171712
    SCEL6_1_1_6_0_0_0/1           1        0.33333333         -0.17938104    -0.14623644
    SCEL6_1_1_6_0_0_0/2           1        0.33333333         -0.22853946    -0.21383170
    SCEL6_1_1_6_0_0_0/4           1        0.50000000         -0.23396028    -0.23835101
    SCEL6_1_2_3_0_0_0/0           1        0.16666667         -0.14521059    -0.16179603
    SCEL6_1_2_3_0_0_0/1           1        0.33333333         -0.26519725    -0.26467512
    SCEL6_1_2_3_0_0_0/2           1        0.33333333         -0.25566685    -0.25391061
    SCEL6_1_2_3_0_0_0/3           1        0.50000000         -0.31023150    -0.31264733
    SCEL6_1_2_3_0_0_0/4           1        0.50000000         -0.26877876    -0.27753090
    SCEL6_1_2_3_1_0_0/0           1        0.16666667         -0.15315115    -0.16179603
    SCEL6_1_2_3_1_0_0/1           1        0.33333333         -0.25664693    -0.24747502
    SCEL6_1_2_3_1_0_0/2           1        0.33333333         -0.26997723    -0.27111071
    SCEL6_1_2_3_1_0_0/3           1        0.50000000         -0.29159387    -0.29544723
    SCEL6_1_2_3_1_0_0/4           1        0.50000000         -0.26790747    -0.27753090
    SCEL6_1_3_2_1_0_0/0           1        0.16666667         -0.14564737    -0.16067634
    SCEL6_1_3_2_1_0_0/1           1        0.33333333         -0.24820136    -0.24442800
    SCEL6_1_3_2_1_0_0/2           1        0.33333333         -0.24886180    -0.25279091
    SCEL6_1_3_2_1_0_0/3           1        0.50000000         -0.26561163    -0.27529151
    SCEL6_1_3_2_1_0_0/4           1        0.50000000         -0.29080710    -0.29284972
    SCEL6_1_6_1_1_0_0/0           1        0.16666667         -0.15338298    -0.14923693
    SCEL6_1_6_1_1_0_0/1           1        0.33333333         -0.21916237    -0.19380871
    SCEL6_1_6_1_1_0_0/2           1        0.33333333         -0.26349247    -0.25855160
    SCEL6_1_6_1_1_0_0/3           1        0.50000000         -0.21817181    -0.21413183
    SCEL6_1_6_1_1_0_0/4           1        0.50000000         -0.27772116    -0.28185982
    SCEL6_2_1_3_0_0_1/0           1        0.16666667         -0.16325545    -0.16710578
    SCEL6_2_1_3_0_0_1/1           1        0.33333333         -0.28555928    -0.30290724
    SCEL6_2_1_3_0_0_1/2           1        0.33333333         -0.29086322    -0.27642046
    SCEL6_2_1_3_0_0_1/3           1        0.50000000         -0.40469766    -0.39569215
    SCEL6_2_1_3_0_0_1/4           1        0.50000000         -0.28777840    -0.30259213
    SCEL6_2_1_3_0_1_1/0           1        0.16666667         -0.16846861    -0.16710578
    SCEL6_2_1_3_0_1_1/1           1        0.33333333         -0.29349691    -0.27446366
    SCEL6_2_1_3_0_1_1/2           1        0.33333333         -0.30786608    -0.30486404
    SCEL6_2_1_3_0_1_1/3           1        0.50000000         -0.35456186    -0.36724857
    SCEL6_2_1_3_0_1_1/4           1        0.50000000         -0.28851517    -0.30259213
    SCEL6_3_1_2_0_2_1/0           1        0.16666667         -0.15083332    -0.16108368
    SCEL6_3_1_2_0_2_1/1           1        0.33333333         -0.24971681    -0.26733808
    SCEL6_3_1_2_0_2_1/2           1        0.33333333         -0.27597750    -0.26262448
    SCEL6_3_1_2_0_2_1/3           1        0.50000000         -0.31047407    -0.30997173
    SCEL6_3_1_2_0_2_1/4           1        0.50000000         -0.34301996    -0.33463753
    SCEL6_3_2_1_0_1_0/0           1        0.16666667         -0.14794656    -0.16367097
    SCEL6_3_2_1_0_1_0/1           1        0.33333333         -0.26021198    -0.28258962
    SCEL6_3_2_1_0_1_0/2           1        0.33333333         -0.28090271    -0.26521178
    SCEL6_3_2_1_0_1_0/3           1        0.50000000         -0.36936176    -0.36447793
    SCEL6_3_2_1_0_1_0/4           1        0.50000000         -0.31145900    -0.31514633
    SCEL6_3_2_1_1_1_0/0           1        0.16666667         -0.16026067    -0.16018992
    SCEL6_3_2_1_1_1_0/1           1        0.33333333         -0.27308341    -0.26347356
    SCEL6_3_2_1_1_1_0/2           1        0.33333333         -0.28812768    -0.26950459
    SCEL6_3_2_1_1_1_0/3           1        0.50000000         -0.33397909    -0.33155556
    SCEL6_3_2_1_1_1_0/4           1        0.50000000         -0.30978965    -0.31121576
    SCEL6_6_1_1_0_4_1/0           1        0.16666667         -0.15575346    -0.16050071
    SCEL6_6_1_1_0_4_1/1           1        0.33333333         -0.26107976    -0.25781530
    SCEL6_6_1_1_0_4_1/2           1        0.33333333         -0.28499867    -0.26981538
    SCEL6_6_1_1_0_4_1/3           1        0.50000000         -0.27704487    -0.29043975
    SCEL6_6_1_1_0_4_1/4           1        0.50000000         -0.34536122    -0.33405456
    SCEL6_6_1_1_0_5_3/1           1        0.33333333         -0.26847743    -0.24997925
    SCEL6_6_1_1_0_5_3/2           1        0.33333333         -0.30453135    -0.28886458
    SCEL6_6_1_1_0_5_3/3           1        0.50000000         -0.30723560    -0.30987668
    SCEL6_6_1_1_0_5_3/4           1        0.50000000         -0.31042933    -0.31290693
    SCEL6_6_1_1_0_5_5/0           1        0.16666667         -0.15244754    -0.16346255
    SCEL6_6_1_1_0_5_5/1           1        0.33333333         -0.25069191    -0.22973003
    SCEL6_6_1_1_0_5_5/2           1        0.33333333         -0.30145919    -0.30122080
